TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG00096	114435	106824	59825	3320217	152525	137648
HG00097	116584	106060	59855	3331162	153587	138254
HG00099	114888	105210	59584	3327883	153200	138266
HG00100	122711	111351	59968	3338312	154752	138810
HG00101	118669	106179	59984	3326405	152888	138026
HG00102	117456	105838	59517	3313105	152897	137336
HG00103	114440	106319	59765	3319350	152468	137399
HG00104	114302	105225	59395	3310548	152358	137632
HG00105	117266	105944	59885	3329495	153195	137701
HG00106	118467	108256	59506	3332111	154209	137783
HG00107	118050	106026	59600	3295957	151619	136590
HG00108	115670	106230	59500	3304391	151782	136745
HG00109	116088	106887	60124	3321530	152758	137802
HG00110	115325	105905	59429	3294574	151389	136704
HG00111	114902	105697	59476	3298845	150989	136717
HG00112	114076	105137	59117	3308053	152277	137097
HG00113	115999	105847	59404	3311477	153011	137241
HG00114	114974	104963	59027	3293498	150744	136660
HG00115	119200	110480	59875	3327971	153617	137761
HG00116	107829	103411	58863	3277398	149348	135891
HG00117	116532	107982	59741	3289341	151875	136828
HG00118	121179	111703	59938	3338483	154523	138532
HG00119	117759	107869	59995	3323904	152761	137970
HG00120	116206	110403	60053	3321175	156002	137849
HG00121	114062	105755	59362	3299558	151781	136583
HG00122	118326	109650	59525	3329838	153786	138245
HG00123	119150	107918	60289	3336946	153265	138436
HG00125	112383	105704	59797	3319609	152817	137531
HG00126	117681	108851	59043	3316501	154003	137744
HG00127	113451	108851	59281	3298892	155904	137016
HG00128	113519	104784	59474	3321210	152770	137862
HG00129	113753	104951	59278	3307079	152295	136968
HG00130	112475	103471	59133	3326965	152476	137665
HG00131	116151	107671	60027	3319001	152664	137718
HG00132	117410	105462	59743	3316774	152849	137091
HG00133	120816	108882	60939	3342957	154644	138694
HG00134	117055	105800	59540	3326636	153187	137745
HG00135	115862	105667	59895	3316060	152467	137605
HG00136	112614	106940	59503	3301156	154937	136938
HG00137	111042	104757	59232	3283028	150978	136143
HG00138	114683	106003	59540	3322790	152735	138118
HG00139	118624	107338	59860	3326823	153822	137813
HG00140	117221	106876	59900	3318907	153020	137813
HG00141	120837	110374	60100	3336564	153790	138390
HG00142	114898	104677	59548	3328754	153043	137842
HG00143	118395	109128	59658	3330934	154053	137975
HG00145	116919	107906	59917	3323589	152782	137506
HG00146	114262	106485	59810	3313556	153244	137358
HG00148	118653	108094	59234	3335539	154388	138406
HG00149	117782	107680	59418	3326443	153185	137820
HG00150	114350	104737	59223	3317536	152492	137448
HG00151	114335	106750	59108	3302225	153131	136793
HG00152	112858	104527	58840	3292307	151167	136835
HG00154	113761	106195	59430	3297845	153235	136370
HG00155	115471	106566	59919	3322516	152926	137640
HG00156	117620	107594	59292	3340887	154136	138093
HG00157	116058	110276	60209	3329828	157359	138182
HG00158	113991	107344	59808	3326252	153278	137921
HG00159	116333	107843	60183	3315736	152449	137576
HG00160	113927	106772	60247	3308831	152155	137203
HG00171	113865	106152	59439	3311179	152728	137561
HG00173	113328	103817	59385	3313866	152046	137305
HG00174	115011	106049	59547	3318612	152737	137572
HG00176	119145	108935	59393	3337818	154358	138146
HG00177	112006	103492	58956	3281494	150800	136038
HG00178	120216	110178	60061	3326288	153748	137896
HG00179	114480	104884	59213	3329959	153780	138097
HG00180	113240	103950	59314	3316048	152235	137127
HG00181	120142	110425	59978	3356021	154958	138582
HG00182	115145	106156	59453	3317563	152887	137767
HG00183	115143	105153	59432	3329022	153249	137981
HG00185	117090	108527	59392	3330773	153917	138121
HG00186	112830	105150	59096	3307622	152371	137214
HG00187	115322	105978	59455	3325165	152880	137707
HG00188	118492	108075	59303	3319734	153326	137958
HG00189	115297	106377	59271	3312668	152226	137137
HG00190	115064	106408	59644	3327428	152965	137714
HG00231	117177	107800	59484	3316937	153255	137116
HG00232	102430	99886	57741	3166882	142937	132571
HG00233	114029	105792	59484	3328849	153311	138024
HG00234	112985	104688	59323	3324403	152482	137446
HG00235	113871	104554	59468	3319461	152710	137298
HG00236	118550	107064	59893	3324236	153960	137799
HG00237	117030	106811	59821	3331984	153516	138043
HG00238	118043	106371	59581	3333468	153814	138253
HG00239	118790	107762	59435	3324385	153549	137546
HG00240	119396	106416	59984	3337016	153456	138082
HG00242	116947	107561	59305	3318002	152780	137119
HG00243	119867	110090	59633	3328090	153513	137548
HG00244	119352	109490	59565	3330128	154471	138043
HG00245	115390	107539	59950	3325915	153554	138154
HG00246	112337	105028	59391	3310812	152128	137421
HG00249	102161	100052	57702	3176628	144481	132899
HG00250	118975	107481	59991	3325045	153231	137837
HG00251	119566	107186	59980	3329350	153232	137608
HG00252	117095	106076	59631	3308874	152710	137154
HG00253	116848	106794	60150	3337008	153855	138398
HG00254	116632	107247	59463	3327880	153444	137985
HG00255	118937	107080	60076	3330813	153296	137684
HG00256	117423	106285	60258	3325695	153519	137460
HG00257	116592	106415	59859	3335302	153495	138392
HG00258	120407	108804	60584	3335205	153875	138235
HG00259	117262	106519	60014	3338273	153831	138147
HG00260	115810	105442	59693	3305105	151961	137025
HG00261	114967	105585	59273	3310841	152495	137183
HG00262	116731	107679	60193	3323091	153529	137948
HG00263	114051	107055	59305	3298748	153334	136930
HG00264	116249	108128	59900	3319192	153545	137794
HG00265	115951	107641	59339	3307374	152890	136965
HG00266	114094	104274	59284	3335519	153739	138013
HG00267	114938	104539	59245	3315095	152284	137201
HG00268	117176	106782	59983	3328891	153495	137780
HG00269	114669	106471	59211	3303275	151958	136688
HG00270	120873	110543	59512	3327585	153973	137600
HG00271	117108	106495	60099	3350159	153901	138827
HG00272	113834	105207	59006	3295406	151418	137012
HG00273	116621	106637	59790	3330020	153301	138128
HG00274	112688	106682	59192	3307419	153124	136493
HG00275	113827	105305	59545	3300737	151502	136552
HG00276	113915	105616	59558	3314128	152028	137461
