TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG00593	119474	109597	60341	3333253	154098	138370
HG00595	115978	107074	59667	3321848	152894	137943
HG00596	111523	103883	59377	3293265	151531	136736
HG00598	119570	109843	60917	3339843	154619	138612
HG00599	119690	109832	61142	3340230	154420	138732
HG00607	112217	104811	59850	3304195	151307	137336
HG00608	112712	105411	59914	3313165	151780	137735
HG00610	113577	104727	59529	3311191	152488	137911
HG00611	112214	104640	59728	3301885	151706	137422
HG00613	114425	105866	60029	3311900	151975	137539
HG00614	113132	105253	60172	3325371	152561	137308
HG00619	113241	105045	59624	3298548	151575	137174
HG00620	112981	105246	59882	3312489	151755	137950
HG00622	120585	110260	61086	3353345	154569	138825
HG00623	121489	110254	61210	3342210	154960	138737
HG00625	110880	104216	59575	3297076	152344	137143
HG00626	113379	105072	59500	3307041	152497	137366
HG00628	112833	104854	59656	3311013	153362	137683
HG00629	114044	104571	59405	3306976	152315	137227
HG00631	120088	109912	60879	3340270	154543	138413
HG00632	118148	108955	60615	3322056	153229	138368
HG00634	112418	104783	59640	3302542	151126	137161
HG00637	120210	108514	60510	3492419	160822	144137
HG00638	121840	108969	60815	3532086	162325	144910
HG00640	119297	107419	59905	3404511	156096	140397
HG00641	116650	107941	60994	3419274	157355	141490
HG00650	113343	105503	59766	3309556	151887	137525
HG00651	112637	105526	59871	3311138	151938	137473
HG00653	114773	105683	59710	3313720	151955	137049
HG00654	113899	105585	60040	3309804	151662	137659
HG00656	115018	106136	60123	3324480	152320	138155
HG00657	115009	106987	60408	3322237	152399	138026
HG00662	114336	106116	59940	3307927	151817	136964
HG00663	114774	106419	60161	3316880	152372	137812
HG00671	115978	107045	60154	3325671	153085	137723
HG00672	114182	106809	59945	3312976	151986	137830
HG00674	119870	109811	60991	3341928	154298	138904
HG00675	120218	110163	61306	3355413	155211	139543
HG00683	113826	105916	59797	3312742	152216	137141
HG00684	114401	105366	60025	3320390	152562	138166
HG00689	113904	105385	59687	3318604	152411	137783
HG00690	113520	105104	59797	3305191	151545	137288
HG00692	114995	106004	59987	3319711	152194	137784
HG00693	114391	106218	59849	3313995	152097	137456
HG00698	113495	105628	59780	3317281	152201	137426
HG00699	113991	105576	59850	3312745	151817	137654
HG00701	113191	105880	60237	3321561	152415	137610
HG00704	114404	106223	59903	3307565	151789	137302
HG00705	114429	105962	59826	3305808	151788	137167
HG00707	113994	105760	59520	3292436	151081	136897
HG00708	115197	105850	60048	3323504	152668	138022
HG00717	112910	106833	59811	3314291	152349	137120
HG00728	119233	109818	60771	3333368	154468	138900
HG00729	120329	110232	60985	3342050	154522	138532
HG00731	126073	111198	61860	3404365	157433	141058
HG00732	127613	111649	62362	3421915	158551	141926
HG00734	122801	110504	61889	3457999	160110	143050
HG00736	118282	108239	60880	3400208	156245	140489
HG00737	120680	109522	61419	3439052	159110	142387
HG00739	120282	109272	60581	3411114	157332	140285
HG00740	119383	110133	61579	3487308	161019	144132
HG00742	114064	107614	60259	3401547	156191	140382
HG00743	115983	108858	60674	3450279	158785	142377
HG00759	117444	106910	60311	3330008	153036	138453
HG00766	116947	106719	60377	3325546	153192	138260
HG00844	118519	106979	60502	3348053	154358	138249
HG00851	118383	106443	60375	3318135	152747	137631
HG00864	112530	106826	60234	3313182	152237	137778
HG00867	116125	106200	60153	3340310	153688	138575
HG00879	113128	105519	59889	3309671	151588	137367
HG00881	117241	106937	60520	3343590	153826	138294
HG00956	116403	106656	60517	3343493	154582	138530
HG00978	115123	106578	60079	3332257	153061	138148
HG00982	115797	106594	60084	3342659	153605	138657
HG01028	116065	106809	60242	3338287	153571	138638
HG01029	115560	106334	60066	3330007	153167	137545
HG01031	115158	106305	60078	3335490	152725	138151
HG01046	114494	105696	59892	3312224	152082	137481
HG01047	119581	109305	61481	3421785	157583	141783
HG01048	121319	109783	61311	3460018	159533	142942
HG01049	123672	112545	62388	3600164	166949	148301
HG01051	122555	109535	61432	3559249	163555	146328
HG01052	124299	109989	61871	3565991	163627	146839
HG01054	118712	109251	60884	3429211	157836	141948
HG01055	119442	109530	61448	3490222	160667	144265
HG01058	112229	106823	60414	3466276	158957	142512
HG01060	118648	107127	60309	3429217	157201	140882
HG01061	118818	107663	60626	3415202	157190	140820
HG01063	123033	111967	62359	3695948	170272	151136
HG01064	117444	108844	61074	3521568	162270	145419
HG01066	117721	108331	61157	3421479	157278	141319
HG01067	117572	107702	61141	3431083	157653	142315
HG01069	121116	108656	60864	3457362	158604	142616
HG01070	119474	108534	60801	3414445	156967	141133
HG01072	119225	107519	60434	3417343	156691	141453
HG01073	119245	107717	60385	3405042	157187	140727
HG01075	124436	111235	62222	3444973	160164	142843
HG01077	120068	110766	61625	3568826	164423	146803
HG01079	122447	110481	61802	3522055	162080	144687
HG01080	119257	109310	61491	3459390	159437	142596
