TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG01494	117474	108801	61070	3461924	159615	142833
HG01495	122603	109940	61533	3489409	160863	143691
HG01497	115815	107505	60634	3393354	155769	140097
HG01498	115808	108366	60534	3381593	156494	139896
HG01500	114389	107157	59136	3357892	154378	138847
HG01501	112928	106742	59052	3342622	152792	137593
HG01503	112603	106914	59281	3330370	153368	138127
HG01504	114344	107261	59058	3327572	152874	137617
HG01506	115857	107947	59238	3325950	153077	137779
HG01507	114398	107766	59258	3333879	153203	138397
HG01509	117846	110542	60365	3366295	154653	139605
HG01510	114433	107855	59205	3352016	154250	138987
HG01512	114459	107410	58977	3317354	152307	137589
HG01513	114874	107563	58999	3318739	152807	137811
HG01515	113377	105610	59238	3308732	151703	136537
HG01516	113329	105771	59149	3301803	151849	136289
HG01518	113805	106226	59499	3309674	152362	136651
HG01519	112724	105834	59457	3310188	152284	137144
HG01521	114125	105733	59519	3303906	151801	136982
HG01522	115206	106561	59409	3308675	153211	137205
HG01524	119192	107116	60227	3344730	153962	138445
HG01525	119372	107227	60156	3364960	155016	139115
HG01527	120986	107530	60448	3382078	155561	139684
HG01528	119146	106737	59815	3343125	154285	138632
HG01530	119865	107137	59958	3350185	154093	138608
HG01531	119443	106743	59734	3328282	153156	137507
HG01536	119677	107438	60397	3356426	154048	138835
HG01537	119421	106552	60052	3339687	153806	138206
HG01550	117758	109198	60517	3418286	157921	141159
HG01551	126728	113732	62389	3716388	172510	152278
HG01556	124360	111127	62316	3604318	165537	148005
HG01565	113713	108111	59291	3317326	153068	137287
HG01566	113995	107965	59274	3345060	154355	138577
HG01571	112957	107471	59116	3312120	152743	137227
HG01572	111220	105700	57923	3219002	148392	133962
HG01577	116737	110120	60333	3407096	157399	140654
HG01578	114957	109066	59361	3335527	153856	138248
HG01583	113401	108194	60517	3402168	156216	140489
HG01586	112959	107892	60519	3388116	155589	139733
HG01589	112131	107018	59748	3347139	153839	138152
HG01593	111150	105871	59558	3316593	152260	137252
HG01595	115011	107649	59317	3324225	153020	138118
HG01596	113985	107043	59291	3302990	151892	136876
HG01597	116641	109383	59914	3340055	154743	138975
HG01598	115544	108161	59862	3339981	153584	138540
HG01599	115340	106142	59982	3317770	152563	137819
HG01600	117735	107101	60251	3349528	154185	138990
HG01602	113952	106788	59670	3342423	153698	138264
HG01603	114636	106875	59804	3344777	153970	138781
HG01605	113225	106166	59361	3315738	152194	136994
HG01606	113627	106100	59643	3323721	152684	137410
HG01607	114143	106383	59455	3325426	152849	137598
HG01608	115512	107477	59934	3343736	154245	138600
HG01610	115373	106811	59562	3328224	152858	137611
HG01612	114908	106795	59491	3352976	153635	138814
HG01613	115530	107124	59659	3338157	153549	138236
HG01615	113362	106598	59655	3327589	153188	137876
HG01617	114282	105011	59212	3342414	153779	138140
HG01618	115044	105467	59714	3346429	154120	138443
HG01619	115482	106246	59812	3355034	154172	138514
HG01620	115369	105572	59480	3361912	154804	139289
HG01623	116530	106600	60264	3383193	155420	139915
HG01624	115521	105350	59993	3367933	154800	139155
HG01625	114262	104997	59483	3346472	153396	138238
HG01626	113788	104932	59334	3353336	153900	138562
HG01628	114394	105106	59849	3384011	155316	139955
HG01630	115912	105597	59728	3378995	155696	139469
HG01631	119385	106781	59917	3328361	153122	137973
HG01632	119855	107420	60413	3346838	154494	138512
HG01668	113428	107005	59085	3350280	154565	138828
HG01669	113437	106847	59183	3372789	154633	139491
HG01670	113044	106321	58964	3326291	152709	138013
HG01672	112879	106516	58962	3322492	152182	137455
HG01673	116536	106314	59851	3328016	152815	137655
HG01675	116246	106008	59383	3320229	151960	137029
HG01676	116835	106298	59847	3334033	153369	138423
HG01678	117180	107105	59663	3340836	153814	138746
HG01679	116530	105728	59288	3304429	151720	136638
HG01680	117371	106559	59735	3335761	153944	138373
HG01682	115413	106974	60010	3340558	153446	138305
HG01684	116179	106524	59861	3336589	153610	138219
HG01685	116027	107253	60111	3359309	154082	139460
HG01686	115712	106743	60131	3340959	153230	138190
HG01694	116404	106309	59483	3354556	153662	138907
HG01695	117207	106670	59686	3365906	154701	138813
HG01697	117914	105923	59808	3359986	154366	138672
HG01699	116789	105956	59424	3336953	153480	138000
HG01700	114773	105709	59343	3297586	152045	136738
HG01702	115699	105687	59691	3309634	152199	136932
HG01704	116835	108349	60075	3370549	155135	139410
HG01705	117024	108247	60456	3381733	154606	139766
HG01707	114695	107587	59763	3347613	153838	138179
HG01708	117021	108784	60116	3369149	155011	139137
HG01709	116707	108293	60254	3358457	154586	138966
HG01710	116541	108351	60239	3367447	154675	139853
HG01746	116164	107942	60063	3339501	153207	138250
HG01747	116022	107864	59714	3330665	153124	137711
HG01756	124039	109644	61001	3371455	155946	139465
HG01757	123848	110094	60912	3370651	155527	139364
HG01761	123250	109553	60674	3355605	155598	139048
HG01762	123367	108955	60442	3335832	153583	138044
HG01765	115733	106512	60068	3350739	154508	138917
HG01766	116949	107288	60040	3362216	154821	138887
HG01767	117527	108012	60368	3355985	155307	139068
HG01768	116321	106640	60261	3358637	154488	138609
HG01770	119857	107455	60230	3332135	153513	137684
HG01771	121914	107539	60281	3347780	153903	138540
HG01773	113907	105662	59818	3344888	153539	138333
HG01775	113785	104992	59665	3343087	153356	138149
HG01776	110590	103783	59256	3316629	152066	137435
HG01777	119093	107811	60555	3362347	154860	139205
HG01779	117776	106511	59998	3355196	154228	139046
HG01781	118192	106449	59854	3350122	154228	138657
HG01783	118264	106768	59913	3346762	154031	137969
HG01784	122584	107679	60553	3364091	154922	139061
HG01785	110852	105996	59276	3324919	153073	137600
HG01786	110279	105469	59122	3320391	152412	137462
HG01789	113507	106896	59075	3326835	153430	138038
HG01790	113891	106919	58754	3313163	152096	137058
HG01791	112999	107108	59076	3313350	152304	137240
HG01794	114472	105801	60020	3311384	151964	137497
HG01795	117710	107742	60424	3339285	154193	138542
HG01796	116489	106384	59926	3318808	152789	137378
HG01797	117582	106722	60249	3325316	153255	137675
HG01798	116871	106960	60405	3329773	153639	137826
HG01799	116604	106593	60208	3310781	151744	137254
HG01800	115843	106231	59838	3287481	151120	136652
HG01801	116514	106679	60086	3329291	153016	137589
HG01802	116827	106791	60257	3345914	153467	138393
HG01804	116893	107297	60399	3337592	153535	138524
HG01805	117378	107128	60321	3336085	153430	138306
HG01806	116845	107247	60229	3327896	152928	137679
HG01807	117601	107405	60260	3333111	153376	138164
HG01808	116299	106511	59946	3330552	152800	138249
HG01809	116224	106570	60099	3309356	152242	137116
HG01810	116538	106495	59760	3317895	152363	137290
HG01811	117102	106993	59934	3314292	152597	137413
HG01812	117096	106803	60189	3319874	152602	138216
HG01813	116837	106976	60020	3321912	152137	137670
HG01815	117903	107886	60545	3348559	153703	138841
HG01816	112376	103454	58452	3213143	147822	133288
HG01817	116459	106549	59927	3324926	153246	138298
HG01840	115773	106952	60303	3341299	154095	138857
HG01841	114711	106631	60158	3314598	152192	137665
HG01842	115716	107209	60524	3340839	153402	138691
HG01843	115373	106596	60185	3325966	152643	138355
HG01844	117163	107408	60247	3334364	153166	138274
HG01845	117699	106849	60489	3336831	153646	138663
HG01846	117057	106689	60193	3334852	153002	138500
HG01847	116338	107105	60494	3321880	152851	138118
HG01848	116697	106767	60165	3335958	153150	138102
HG01849	116736	106529	60351	3325291	153307	138065
HG01850	116630	106993	60334	3344636	154080	138773
HG01851	117106	106703	60117	3326799	153197	137573
HG01852	117037	107374	60514	3344611	153542	138491
HG01853	116946	106481	60318	3328898	153148	138141
HG01855	116720	106674	60348	3339625	153607	138594
HG01857	117199	106650	60299	3338334	153214	138229
HG01858	116659	106350	60138	3329130	152672	138009
HG01859	116619	106689	60285	3324425	153089	138085
HG01860	116161	106975	60436	3330938	153675	138538
HG01861	115557	106162	60238	3322685	152970	137897
HG01862	115619	107442	60465	3338286	153562	138654
HG01863	115050	107958	60300	3325793	153356	138010
HG01864	115832	108260	60708	3347648	154130	138530
HG01865	116660	108354	60525	3333820	153435	138282
HG01866	113119	106720	60069	3323855	152719	138019
HG01867	115737	108286	60568	3339072	153662	138333
HG01868	115867	108091	60520	3332687	153956	138393
HG01869	116133	108003	60452	3338434	153543	138486
HG01870	122438	109478	60761	3332210	153394	138144
HG01871	124244	110265	61284	3356093	155336	139344
HG01872	123933	109670	61407	3358395	155383	138823
HG01873	125278	109521	61104	3339048	154091	138549
HG01874	123330	109100	61176	3350216	154729	138835
HG01878	123287	109245	60970	3357966	155338	139092
HG01879	136190	114724	63210	4018939	185001	163462
HG01880	133146	114615	63727	3896382	179281	158540
HG01882	139735	115299	63525	4082408	188046	165721
HG01883	138233	115041	63409	4025843	186087	163795
HG01885	138750	116102	63625	4086602	187788	165836
HG01886	145528	117841	64427	4057245	187346	165422
HG01889	146404	117074	64244	4103963	189966	166837
HG01890	143361	116472	64107	4047134	186667	164948
HG01892	118029	107734	60209	3367493	154737	139352
HG01893	120162	108199	60808	3450666	158513	142651
HG01894	137965	116786	62503	4052573	188182	164857
HG01896	136672	114295	62500	4052099	185951	165006
HG01912	137413	116524	62674	4049479	188674	165225
HG01914	137044	114719	63255	4010407	184409	163078
HG01915	137158	114682	63097	4052822	187043	164821
HG01917	115004	105709	59260	3271552	150071	136067
HG01918	115484	106403	59700	3284953	150675	135881
HG01920	113549	104469	58522	3198379	146811	133199
HG01921	115267	106324	59703	3277632	150733	135834
HG01923	112164	104134	58521	3213926	147674	133446
HG01924	119644	108252	60891	3448513	158772	142652
HG01926	111568	104641	58248	3181528	146787	132659
HG01927	112501	105894	59166	3234052	148849	134512
HG01932	112748	106679	59434	3271027	150798	135738
HG01933	117780	109183	60802	3427456	157225	141701
HG01935	114674	107264	59727	3288973	151379	136336
HG01936	115436	107780	60401	3350718	153705	138792
HG01938	112076	105953	58798	3206986	147574	133684
HG01939	115957	107910	59969	3319657	152984	137808
HG01941	113618	107166	59494	3321601	152332	137371
HG01942	114133	107138	59785	3265533	150395	135623
HG01944	117984	109829	61164	3362277	155084	139424
HG01945	114227	107277	59566	3284503	151171	136446
HG01947	115753	108119	60473	3356476	154371	139299
HG01948	120470	111235	62013	3539355	162648	145626
HG01950	114628	107050	60083	3329996	153005	138061
HG01951	113102	105848	59043	3243150	149184	134754
HG01953	120653	108306	59695	3276645	151164	135820
HG01954	119720	107277	59582	3252990	150341	135572
HG01956	138784	116911	63602	4081198	188326	166361
HG01958	136134	114421	63167	4025037	185764	163668
HG01961	108691	104875	57704	3196100	146693	133058
HG01965	114240	108199	60012	3413459	157109	141241
HG01967	122682	109740	61070	3341673	154631	138723
HG01968	119118	106950	59510	3227416	148753	134273
HG01970	117826	106169	58854	3200996	147571	132911
HG01971	128802	112150	62148	3519824	162934	145235
HG01973	123072	109427	60468	3325731	153862	138025
HG01974	121443	108254	59816	3257180	150549	135646
HG01976	123541	109621	60935	3339309	154579	138392
HG01977	120761	108924	60002	3289350	151700	136516
HG01979	120795	107859	60553	3313934	152916	137250
HG01980	122038	107973	60740	3339037	153868	138169
HG01982	115879	106392	59638	3292075	150744	136789
HG01985	138239	114723	63132	4063761	187471	164747
HG01986	138675	115122	63184	4037509	185704	164295
HG01988	95211	95704	55172	3171380	138389	130840
HG01989	97202	96443	54986	3242503	140610	133640
HG01990	139503	115126	63320	4069279	187730	165148
HG01991	120572	107885	60501	3318045	153099	137303
HG01992	118924	106593	59722	3262423	149957	135331
HG01997	114034	104537	59228	3250156	150040	135739
HG02002	114605	105751	59635	3300686	151391	136761
HG02003	114375	104601	59242	3284981	151569	136361
HG02006	128803	113406	63420	3768062	174104	154177
HG02008	117306	106437	59983	3303259	152479	137249
HG02009	143804	116461	64083	4042975	187106	164063
HG02010	142164	116069	63678	4030525	186201	163975
HG02012	139116	114696	63007	4053167	186979	164773
HG02013	139685	115210	63265	4092924	188204	166331
HG02014	146104	118272	64350	4049632	187996	164655
HG02016	114406	107548	59777	3333953	153130	138202
HG02017	115004	107844	59704	3323708	152670	137419
HG02019	114490	107718	59609	3334403	154167	138251
HG02020	116941	108731	59579	3336411	153704	138461
HG02023	115980	108349	60270	3350332	154021	138698
HG02025	121518	109541	61302	3343792	154701	138759
HG02026	122387	110146	61355	3345752	154988	139183
HG02028	112858	106880	60091	3325291	152924	137984
