TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG02029	115584	108381	60280	3337844	153854	138068
HG02031	113367	104945	59941	3340526	153470	138514
HG02032	117192	106200	60386	3333452	153217	137603
HG02035	116302	108545	59824	3341199	153841	138424
HG02040	115367	108827	59730	3341912	153693	138298
HG02047	115761	108887	59599	3333558	154050	138759
HG02048	123801	109778	60989	3349347	154444	139051
HG02049	123477	109700	61037	3357108	154936	138979
HG02050	117336	106553	60308	3337328	153643	138416
HG02051	139301	114623	63184	4083554	187765	166346
HG02052	140628	116379	63944	4078892	189051	165500
HG02053	139502	114764	63327	4085178	188258	165579
HG02054	133867	113297	62969	4039647	185811	164226
HG02057	123248	110234	61214	3363698	155834	139574
HG02058	120918	108513	60852	3350098	154293	138400
HG02060	115716	106467	60027	3325376	152928	138022
HG02061	115852	106389	60046	3323765	152783	137583
HG02064	115420	106479	60490	3337347	153207	138203
HG02067	115124	106455	60427	3338835	153368	138449
HG02069	123182	110694	61056	3363808	155274	139031
HG02070	122545	110171	60952	3346827	154871	138704
HG02072	123078	110032	60846	3358130	155337	139524
HG02073	122069	110164	60731	3338112	154158	138571
HG02075	122490	108627	61212	3369450	155880	140076
HG02076	120817	107699	60730	3338264	154044	138520
HG02078	122641	108254	60939	3339442	153884	138887
HG02079	122310	108113	61173	3356649	155095	139041
HG02081	115110	105499	60111	3340593	153795	138410
HG02082	115940	106048	59921	3326333	153119	137734
HG02084	114570	105572	60054	3336302	153588	137955
HG02085	116353	106428	60393	3329333	153402	137733
HG02086	115714	106673	60233	3347803	154216	138491
HG02087	114563	104903	59987	3335076	153381	137993
HG02088	113509	104763	59915	3328122	153130	137897
HG02089	116169	106222	60013	3339947	153640	138618
HG02090	117453	106707	60461	3462716	158587	142919
HG02095	140123	116337	63395	4071186	188098	165618
HG02102	115074	106162	59647	3275244	150686	136584
HG02104	113825	104645	59021	3253090	149829	135150
HG02105	108761	102002	58059	3209415	147041	133101
HG02107	149798	118514	64613	4116994	191497	166813
HG02108	134649	114327	63462	3997534	184232	162829
HG02111	137309	115533	63384	4069092	187761	165713
HG02113	115143	105722	59990	3318959	152859	137391
HG02116	114352	106968	60376	3339460	153405	138633
HG02121	119310	106932	60773	3352240	154500	138867
HG02122	119397	107318	60633	3347288	154081	138733
HG02127	118639	106832	60327	3328244	153814	138204
HG02128	119159	106890	60431	3331771	153925	138366
HG02130	114727	105926	60036	3317551	152337	138073
HG02131	115958	106652	60315	3358330	153869	138808
HG02133	115267	106014	60146	3329897	152888	138571
HG02134	116857	106955	60576	3339500	153315	138637
