TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG03268	136480	116415	62217	4067084	188063	165172
HG03270	136475	116232	62198	4084867	188444	166141
HG03271	136783	116162	62215	4072477	188050	165408
HG03279	137956	116527	62333	4087850	188916	166236
HG03280	137758	117172	62196	4095349	188794	166061
HG03291	135544	115621	62114	4071890	188475	165573
HG03294	134862	115486	61850	4055263	187060	164580
HG03295	138597	117103	62228	4080106	187971	165947
HG03297	138280	114373	63039	4078223	188638	166128
HG03298	139241	114738	63058	4083778	189030	166468
HG03300	135371	115686	61992	4057315	187723	165041
HG03301	138554	117235	62503	4084288	188321	165862
HG03303	138424	114337	62911	4066999	188273	164952
HG03304	139307	115174	63193	4078810	188753	165846
HG03311	133212	113576	62193	4051743	186371	164652
HG03313	133517	114148	62221	4050536	186764	164581
HG03342	138786	117201	62494	4086977	189376	165681
HG03343	134501	115000	61622	4055353	187104	165124
HG03351	135291	114406	62285	4064790	187452	165199
HG03352	133812	114506	62458	4071022	188064	165072
HG03354	137407	114379	62837	4076538	188096	165881
HG03363	132945	113238	62402	4052953	186546	164718
HG03366	134914	115242	61817	4080726	188191	165880
HG03367	137467	116672	62171	4092961	188821	166194
HG03369	137261	116256	62347	4072763	187772	164977
HG03370	138290	117161	62248	4075574	187333	165804
HG03372	134341	114308	62303	4064928	187687	165195
HG03376	135990	115748	61994	4092824	189046	166177
HG03378	140891	115554	63087	4130015	190729	167524
HG03380	137005	116300	62320	4114051	189883	167489
HG03382	139661	115519	63136	4122351	190205	167058
HG03385	136405	116014	62106	4090106	188789	166360
HG03388	139512	118015	62966	4124478	190738	167777
HG03391	142526	119592	62838	4129813	191622	167709
HG03393	135376	115266	62550	4095784	188114	165930
HG03394	135927	114904	62922	4118026	189911	167094
HG03397	144226	118460	64245	4126639	190943	167554
HG03398	128415	111208	62000	4014979	183592	163835
HG03401	139537	117500	62572	4117202	189707	166865
HG03410	137182	116535	61951	4103700	190171	166786
HG03419	137311	116619	62221	4116943	189770	167296
HG03428	138889	117690	62735	4113080	189741	167054
HG03431	135834	115551	61959	4105761	188928	166918
HG03432	134513	114450	62455	4102018	188583	166604
HG03433	139940	117929	62820	4110876	190064	167042
HG03436	134598	114848	61987	4104253	188408	166421
HG03437	137153	116604	62017	4099788	188557	166447
HG03439	139080	117470	62487	4111801	189612	167141
HG03442	138688	117673	62629	4112850	190799	167555
HG03445	140093	118076	62536	4139879	191492	167856
HG03446	139165	117370	62059	4100003	189361	166426
HG03449	134895	115094	61963	4101731	189607	166463
HG03451	143940	118522	64170	4126853	191216	168044
HG03452	144354	118429	64087	4124368	191384	167529
HG03455	138147	116985	62177	4121686	190077	167201
HG03457	135613	114894	63016	4103899	188390	166413
HG03458	139493	117877	62474	4132555	191211	167332
HG03460	139355	117178	62728	4123774	190285	166664
HG03461	138950	117557	62182	4114982	189707	166764
HG03462	134704	114589	62420	4111174	189432	166793
HG03464	143341	118507	64080	4135100	191457	168422
HG03469	140595	116653	63239	4138008	191119	168332
HG03470	140028	118483	62419	4140093	191389	167659
HG03472	142569	118394	63549	4110512	190685	167235
HG03473	138114	117090	62375	4120480	189710	167065
HG03476	139731	118099	62507	4130439	191306	167984
HG03478	137328	117413	62064	4118877	190127	167197
HG03479	138962	118128	62320	4117640	190821	167430
