TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG03874	121757	110738	61662	3430467	158244	142088
HG03875	114678	105914	59838	3349178	154178	138877
HG03882	120272	110486	61704	3414100	157861	141328
HG03884	118640	109393	60972	3377466	156060	140014
HG03885	118324	109753	61087	3413985	157238	141494
HG03886	119380	110181	61169	3423018	158081	141508
HG03887	117913	110109	61380	3410069	157660	141045
HG03888	119511	110121	61333	3417433	158083	141363
HG03890	116978	111037	60373	3422935	158370	141407
HG03894	114269	107673	59561	3390031	155394	139984
HG03895	113413	108199	59091	3353554	154419	138895
HG03896	119155	108977	60226	3332024	153925	138107
HG03897	115513	109252	59911	3403387	156233	140472
HG03898	120000	109580	60566	3371426	155014	139622
HG03899	117709	107816	60427	3372660	155091	139426
HG03900	119616	109804	60846	3376833	155779	139844
HG03902	115610	109390	60476	3420304	157275	141328
HG03905	115892	109833	60223	3411585	156693	140990
HG03907	117953	111141	60264	3406829	157570	141025
HG03908	119405	112143	60629	3436787	158597	141555
HG03910	113363	108867	59659	3374324	155149	139937
HG03911	115808	109685	60242	3411184	156570	140663
HG03913	115458	109254	60454	3396697	156180	140192
HG03914	116003	110065	60568	3408596	156843	141122
HG03916	113848	108345	59955	3398456	156130	140252
HG03917	115789	107759	61033	3416228	157148	141433
HG03919	114719	109198	59981	3410690	156782	140891
HG03920	115843	107748	60780	3408447	156492	140817
HG03922	120130	109293	60712	3426078	157853	141562
HG03925	117786	111009	60481	3420026	158014	141630
HG03926	115352	109604	60579	3413359	156922	141048
HG03928	117242	110407	60531	3418434	157592	141226
HG03931	116331	109899	60434	3413575	157254	140737
HG03934	116034	110458	60537	3424220	157333	141461
HG03937	114628	108868	59879	3391051	155797	140443
HG03940	117838	110433	60695	3427673	157446	141869
HG03941	118278	110856	60484	3415427	157305	141299
HG03943	120932	110808	61940	3415775	157675	141191
HG03944	114143	108549	59559	3377974	155829	139906
HG03945	116095	107496	60611	3391103	155756	140129
HG03947	115028	109274	60352	3415789	156935	141181
HG03949	114889	108448	59908	3377552	155282	139762
HG03950	120287	110733	61525	3422471	157987	141613
HG03951	118098	108548	61497	3426666	157668	142024
HG03953	114816	109076	59692	3407930	156518	140605
HG03955	113248	105721	59753	3349756	153315	138682
HG03960	114552	109020	59847	3402483	155854	140773
HG03963	116328	110151	60262	3414157	157215	141154
HG03965	117736	107872	60994	3416891	157265	141296
HG03967	115834	107316	60227	3362315	154207	139185
HG03968	114463	109292	60044	3399608	156132	140307
HG03969	113126	107517	60371	3406299	156029	140415
HG03971	115532	109207	60563	3423640	157249	141400
HG03973	114164	108543	60051	3384682	155843	140318
HG03974	118831	111014	60610	3421455	158121	141369
HG03976	117518	110420	60949	3417880	157158	141552
