TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
NA19065	116111	108343	59688	3324096	153178	137595
NA19066	116112	108980	59982	3330209	153713	138576
NA19067	118416	109461	60264	3336524	156205	138394
NA19068	118262	109777	60116	3348731	154725	139162
NA19070	117827	108483	59776	3324934	155446	137393
NA19072	116369	107726	60023	3340582	153540	138534
NA19074	115256	108929	59837	3313657	152163	137228
NA19075	114275	106915	59696	3301487	153062	137239
NA19076	113638	106810	59627	3298397	151491	136926
NA19077	114971	109625	59840	3323709	156763	137797
NA19078	114598	107692	59476	3321564	153517	137578
NA19079	114868	108934	59609	3309497	153131	137719
NA19080	112907	106462	59375	3305727	152007	137536
NA19081	112144	106611	59829	3311958	152232	137782
NA19082	117314	107937	60010	3321324	152847	138210
NA19083	116156	109076	59897	3331267	153484	138295
NA19084	114779	108750	59837	3330423	153965	138351
NA19085	118410	110616	60503	3348008	155102	139021
NA19086	114979	106145	60214	3330983	152832	137931
NA19087	116259	109412	60096	3323397	153320	137641
NA19088	114301	108609	59686	3316390	153149	137539
NA19089	116199	106548	60126	3326168	152490	138117
NA19090	115673	106054	60061	3330968	153312	138018
NA19091	114735	106094	59835	3316240	152685	137663
NA19092	138819	115697	63109	4084046	188521	165684
NA19093	140616	114242	62652	4059601	186968	164794
NA19095	140549	114663	63049	4077171	188791	165206
NA19096	138088	114009	62806	4082314	188159	165532
NA19098	138636	115288	62922	4082510	188001	165570
NA19099	139453	118001	63040	4073572	188165	165412
NA19102	144194	117346	64081	4084779	189512	166185
NA19107	139430	118044	62787	4060723	186973	165176
NA19108	139913	117846	62788	4064093	187619	165263
NA19113	137470	113376	62573	4052757	186611	165396
NA19114	139461	118237	63038	4083430	188003	165787
NA19116	136233	115454	62306	4051674	188483	165062
NA19117	137666	113661	62654	4062781	187725	164824
NA19118	137110	114082	63013	4076504	188870	165528
NA19119	144877	117080	63457	4079310	189421	165865
NA19121	139072	114015	62547	4054648	187161	164573
NA19129	138529	117896	63009	4068107	187262	165080
NA19130	139433	115789	62462	4074690	189604	164920
NA19131	145926	116342	63684	4097547	189647	166310
NA19137	139691	113737	63045	4059695	187643	165289
NA19138	140855	114225	62686	4063274	187585	165001
NA19141	137709	114369	62665	4056897	186555	164924
NA19143	137489	114276	62630	4069294	187252	165349
NA19144	136713	115254	62867	4090562	188368	166090
NA19146	138455	113799	62873	4085183	188478	165821
NA19147	139677	117814	63367	4080026	188688	166065
NA19149	135408	112390	62153	4068339	186525	165034
NA19152	146025	117562	63516	4084752	189099	165839
NA19153	137626	114618	62480	4074445	187395	165514
NA19159	139405	116148	63229	4102977	189329	166625
NA19160	139445	114204	62768	4062991	187207	165506
NA19171	143618	116106	63399	4073002	188275	165736
NA19172	137414	115635	62076	4059240	187803	165061
NA19175	140425	114952	63149	4085004	188607	166424
NA19184	139149	114683	63015	4071744	187950	164755
NA19185	137470	113564	62492	4089806	188160	165650
NA19189	124014	108189	61055	3858988	175135	158233
NA19190	139277	117824	63101	4085491	188270	165705
NA19197	138355	115106	62685	4076012	188763	165107
NA19198	137677	115528	62945	4075343	188303	165684
NA19200	138702	114445	62912	4066478	187328	165467
NA19201	135414	114256	62573	4056533	186646	164524
NA19204	144845	115903	63418	4068513	188138	165195
NA19206	138812	115082	62803	4075816	188744	165041
NA19207	135823	114817	62508	4069479	187744	165391
NA19209	136537	114825	62688	4068285	187312	165361
NA19210	141675	115043	63244	4082849	189400	166203
NA19213	143631	120096	63200	4086261	192854	165614
NA19214	138350	113799	62892	4090154	188787	165857
NA19222	140256	113768	62900	4073862	188733	165581
NA19223	138836	114925	62804	4065446	188008	165091
NA19225	140213	118343	62866	4075192	187670	165184
NA19235	138911	115596	62590	4076423	189983	165608
NA19236	140765	116198	62748	4077107	190319	165293
NA19238	137371	115276	62955	4076436	188636	165268
NA19239	133883	113674	62334	4069882	187317	165251
NA19247	138251	115636	62572	4054545	190024	165108
NA19248	138923	117208	62471	4071111	191792	165313
NA19256	139317	117967	63133	4070726	188103	165621
NA19257	139691	118204	63160	4076892	188448	165394
NA19307	140155	115350	63003	4097053	188980	165933
