TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
NA19921	137049	118140	63170	3906758	184892	159470
NA19922	134804	113924	63106	3951626	182008	161518
NA19923	132477	113080	62941	3874964	178607	158088
NA19982	140613	115466	63033	4040879	186723	164297
NA19984	137101	115126	63549	4032797	185761	164183
NA20126	132850	113862	63164	3943672	181086	160778
NA20127	137715	114985	63319	4041563	186586	164369
NA20274	126939	112505	63492	3720111	171845	152690
NA20276	135575	114907	63090	4012556	184848	163391
NA20278	130458	114171	63546	3875146	177934	158395
NA20281	134780	114437	62951	4005454	184096	163094
NA20282	133531	114286	63340	3954782	182204	161149
NA20287	134934	114598	62901	3996596	183629	162225
NA20289	134685	114883	63365	3986269	184175	162600
NA20291	138940	115473	63264	4076772	188080	164958
NA20294	135907	115200	63371	4037931	186124	163852
NA20296	135125	115651	63167	3990290	185586	162542
NA20298	137937	114737	63274	4078233	187528	165459
NA20299	130178	114634	64119	3829700	176804	156015
NA20314	114240	106217	59897	3305337	152295	137454
NA20317	131903	112920	62440	3915461	180580	159496
NA20318	134129	113806	63022	3949015	182237	161029
NA20320	137547	114960	63313	4054689	187363	164985
NA20321	134465	114278	63383	3988037	183966	162272
NA20332	134528	115137	62998	3980444	183851	161899
NA20334	130961	114342	62818	3895903	180320	158847
NA20339	135751	113558	62876	4028935	185407	163436
NA20340	137506	115769	63102	4020276	185597	163114
NA20342	132685	115002	63264	3893897	180392	158950
NA20346	136498	115066	63406	4010381	185566	163337
NA20348	135485	115694	63297	4020769	185181	163445
NA20351	132642	113104	63122	3939669	181933	160441
NA20355	133314	113768	62936	4007266	184947	162862
NA20356	134979	114165	62943	4037126	185920	163982
NA20357	140591	115346	63441	4053014	186784	164684
NA20359	137181	113524	62827	3952579	182337	160521
NA20362	138107	115839	62807	3977493	183219	161816
NA20412	134119	113539	63261	3974444	182783	161654
NA20502	109606	106645	58784	3298115	151000	136550
NA20503	117637	106730	60003	3343508	153904	138332
NA20504	115507	109603	59858	3348979	154213	138725
NA20505	116439	110262	59825	3348842	154412	138476
NA20506	118391	111124	59970	3353819	154146	138774
NA20507	117771	106046	60121	3339510	153822	138162
NA20508	117836	109602	59894	3344095	155334	138519
NA20509	117106	109483	59608	3335139	154278	138138
NA20510	118246	110259	59851	3353864	154579	138827
NA20511	114984	105730	59724	3332049	152753	137941
NA20512	118721	110364	60012	3348662	154208	138664
NA20513	117484	106675	60180	3356868	153796	138464
NA20514	117238	105677	59754	3328549	152698	137661
NA20515	115557	109953	59727	3329909	153905	137746
NA20516	117527	110330	59716	3330517	153701	137956
NA20517	117943	110826	59979	3337465	154032	138162
NA20518	118992	110872	60121	3356810	154595	138989
NA20519	115614	109393	59678	3336490	153841	138605
NA20520	117250	110176	59670	3338363	153437	137825
NA20521	116751	110083	59951	3345349	153688	138606
NA20522	119548	110691	60096	3352068	154108	138464
NA20524	117913	110763	60267	3339162	154099	138048
NA20525	118053	111035	59801	3345821	154854	138946
NA20527	118263	110930	60087	3355817	154580	138866
NA20528	117551	110323	59987	3345397	154848	138515
NA20529	117228	109869	59891	3343508	154459	138188
NA20530	118365	110165	59966	3335875	153547	137978
NA20531	116925	110240	59745	3347237	155232	139284
NA20532	117229	110071	59994	3353896	153645	138795
NA20533	116366	109503	59620	3334024	153250	137944
NA20534	118278	109441	59878	3344669	153693	138691
NA20535	119057	110291	60060	3326726	153899	137803
NA20536	116207	109560	59875	3349232	153980	138710
NA20537	96885	97172	56122	3101519	138459	129142
NA20538	118580	109399	59740	3346275	154255	138853
NA20539	115268	109114	59541	3333193	153725	138101
NA20540	109842	104686	58708	3311342	152708	137165
NA20541	117746	110425	59698	3335326	153639	137823
NA20542	118435	110587	60029	3349370	154722	138850
NA20543	120140	112102	60387	3362711	155826	139352
NA20544	116580	110041	59608	3341697	154058	138605
NA20581	118361	110380	59762	3344676	153993	138423
NA20582	111895	106037	58971	3296273	152352	136375
NA20585	117176	109716	59337	3281042	151577	136077
NA20586	115695	107493	59258	3317079	153243	137513
NA20587	122783	110662	60640	3362685	155639	139280
NA20588	120222	111673	60494	3346875	154114	138303
NA20589	119800	110062	60331	3341755	154153	138396
NA20752	119208	111797	60272	3355262	154874	138798
NA20753	119862	110977	60353	3371056	155854	139239
NA20754	119183	110595	60299	3357168	155125	139238
NA20755	118358	110817	60045	3349773	154404	138925
NA20756	117240	110352	60158	3348571	153984	138617
NA20757	117150	109970	60175	3331195	153851	138071
NA20758	120106	111538	60215	3369722	155427	138909
NA20759	119083	111347	60012	3356157	155432	139174
NA20760	112371	107223	59600	3334473	154724	138574
NA20761	118135	110640	59803	3344771	154351	138245
NA20762	114019	105206	59184	3327457	152934	137719
NA20763	114125	105289	59357	3324011	152457	137335
NA20764	115796	105419	59586	3328961	153532	137724
NA20765	118722	110862	60177	3351975	154389	138551
NA20766	118586	110710	60061	3351803	154515	138723
NA20767	116035	106138	60109	3352506	153884	138784
NA20768	119020	110839	60009	3347123	154522	138928
NA20769	113275	107079	59558	3343503	153719	138300
NA20770	117550	110640	59979	3351806	154629	138614
NA20771	116293	109889	59950	3333065	153156	137610
NA20772	117646	109576	59954	3341337	154055	139003
NA20773	116437	109434	59664	3328161	153321	138157
NA20774	117535	110181	59728	3339485	153859	138585
NA20775	117267	109956	59476	3335312	154083	138065
NA20778	119021	111042	59983	3340856	154437	138639
NA20783	118329	110313	59983	3346292	155073	138320
NA20785	117654	110403	59730	3339921	153266	138833
NA20786	119014	110389	59958	3347776	154457	138174
NA20787	118388	110402	59756	3351050	154185	138416
NA20790	118245	110064	59786	3337843	153610	138407
NA20792	113196	107897	58951	3331766	154119	137680
NA20795	118809	111137	60081	3360312	154825	139093
NA20796	112862	107288	58824	3320838	152130	137714
NA20797	117689	110231	59947	3346808	154485	138634
NA20798	118025	110377	59846	3336191	154207	138408
NA20799	118657	110969	60037	3339871	154096	138514
NA20800	112947	108449	59137	3319304	157726	137482
NA20801	119734	111204	60273	3354860	154474	138808
NA20802	114223	107646	59626	3340147	153557	138329
NA20803	117811	110596	59768	3341557	154436	138785
NA20804	117027	110156	59617	3349196	153815	138887
NA20805	118422	110964	59875	3335763	154188	138210
NA20806	117876	111089	60099	3339307	154164	138496
NA20807	117595	110325	59657	3334282	153949	137860
NA20808	116353	109703	59553	3337113	153867	138228
NA20809	118853	110805	59819	3344806	154563	138247
NA20810	119035	110665	59941	3349074	154410	138818
NA20811	116819	110191	59833	3349293	153945	138747
NA20812	116526	109769	59979	3339234	153545	138151
NA20813	116615	110026	60064	3354442	154129	138916
NA20814	116067	109890	59853	3345108	154017	138367
NA20815	117553	110068	59939	3357255	154723	139144
NA20816	106194	102297	58686	3272563	149361	136430
NA20818	117526	109191	59910	3343585	154349	138546
NA20819	118944	110030	59995	3334361	153718	138524
NA20821	120442	107666	59542	3348550	154211	138486
NA20822	121316	108089	59805	3369211	154936	139345
NA20826	116796	109724	59924	3342409	154292	138391
NA20827	111357	105951	59311	3334404	152647	137512
NA20828	116682	109736	59732	3341265	153600	138263
NA20829	110731	105464	58932	3315929	152032	136845
NA20831	110504	104881	59242	3323946	152253	137560
NA20832	111916	105676	59574	3334531	153075	137756
NA20845	119642	110817	60629	3436651	157654	141894
NA20846	115442	109260	59682	3369239	156681	140029
NA20847	114944	108427	59991	3386898	156627	140241
NA20849	118470	111105	60117	3411548	158625	141356
NA20850	114206	108611	59634	3353440	154538	138947
NA20851	114493	108781	60145	3400212	156770	140489
NA20852	114269	108720	59740	3374035	155796	139555
NA20853	118199	110455	60420	3418423	158017	141610
NA20854	116293	109331	59899	3395791	156439	140254
NA20856	114049	107935	60015	3389345	155430	139765
NA20858	114756	108173	59853	3385764	156096	140243
NA20859	118029	110308	60163	3394759	156336	140405
NA20861	116409	109108	59970	3387045	155989	140181
NA20862	115731	108890	59961	3390851	156144	139804
NA20863	119239	108407	60806	3410126	157025	140855
NA20864	118907	108554	60849	3402358	157176	140894
NA20866	116690	109067	60069	3392508	156331	139949
NA20867	118177	107484	60770	3395675	155379	140145
