TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG00096	114435	110234	63098	3320217	149115	134375
HG00097	116584	109467	63167	3331162	150180	134942
HG00099	114888	108632	62861	3327883	149778	134989
HG00100	122711	114902	63286	3338312	151201	135492
HG00101	118669	109627	63237	3326405	149440	134773
HG00102	117456	109208	62753	3313105	149527	134100
HG00103	114440	109729	63047	3319350	149058	134117
HG00104	114302	108665	62674	3310548	148918	134353
HG00105	117266	109353	63175	3329495	149786	134411
HG00106	118467	111712	62772	3332111	150753	134517
HG00107	118050	109434	62835	3295957	148211	133355
HG00108	115670	109634	62724	3304391	148378	133521
HG00109	116088	110334	63313	3321530	149311	134613
HG00110	115325	109315	62674	3294574	147979	133459
HG00111	114902	109036	62699	3298845	147650	133494
HG00112	114076	108517	62377	3308053	148897	133837
HG00113	115999	109245	62660	3311477	149613	133985
HG00114	114974	108312	62249	3293498	147395	133438
HG00115	119200	113951	63126	3327971	150146	134510
HG00116	107829	106734	62065	3277398	146025	132689
HG00117	116532	111392	62967	3289341	148465	133602
HG00118	121179	115190	63194	3338483	151036	135276
HG00119	117759	111233	63225	3323904	149397	134740
HG00120	116206	113832	63378	3321175	152573	134524
HG00121	114062	109156	62580	3299558	148380	133365
HG00122	118326	113075	62721	3329838	150361	135049
HG00123	119150	111354	63579	3336946	149829	135146
HG00125	112383	109097	63087	3319609	149424	134241
HG00126	117681	112266	62316	3316501	150588	134471
HG00127	113451	112257	62478	3298892	152498	133819
HG00128	113519	108108	62785	3321210	149446	134551
HG00129	113753	108334	62514	3307079	148912	133732
HG00130	112475	106901	62338	3326965	149046	134460
HG00131	116151	111103	63251	3319001	149232	134494
HG00132	117410	108811	63009	3316774	149500	133825
HG00133	120816	112360	64212	3342957	151166	135421
HG00134	117055	109225	62827	3326636	149762	134458
HG00135	115862	109023	63080	3316060	149111	134420
HG00136	112614	110417	62693	3301156	151460	133748
HG00137	111042	108152	62496	3283028	147583	132879
HG00138	114683	109368	62810	3322790	149370	134848
HG00139	118624	110803	63108	3326823	150357	134565
HG00140	117221	110316	63170	3318907	149580	134543
HG00141	120837	113866	63400	3336564	150298	135090
HG00142	114898	108069	62789	3328754	149651	134601
HG00143	118395	112612	62950	3330934	150569	134683
HG00145	116919	111310	63151	3323589	149378	134272
HG00146	114262	109902	62991	3313556	149827	134177
HG00148	118653	111574	62481	3335539	150908	135159
HG00149	117782	111124	62635	3326443	149741	134603
HG00150	114350	108120	62496	3317536	149109	134175
HG00151	114335	110150	62400	3302225	149731	133501
HG00152	112858	107833	62011	3292307	147861	133664
HG00154	113761	109569	62600	3297845	149861	133200
HG00155	115471	109982	63132	3322516	149510	134427
HG00156	117620	111022	62566	3340887	150708	134819
HG00157	116058	113731	63415	3329828	153904	134976
HG00158	113991	110742	63084	3326252	149880	134645
HG00159	116333	111283	63414	3315736	149009	134345
HG00160	113927	110113	63474	3308831	148814	133976
HG00171	113865	109575	62670	3311179	149305	134330
HG00173	113328	107197	62620	3313866	148666	134070
HG00174	115011	109459	62808	3318612	149327	134311
HG00176	119145	112381	62623	3337818	150912	134916
